ID,CSA2010,Affordability Index - Mortgage,Affordability Index - Rent,High School Completion Rate,High School Dropout/Withdrawl Rate,Median Household Income,Median Number of Days on the Market,Median Price of Homes Sold,"Neighborhood Businesses per 1,000 Residents (NAICS Sectors)",Number of Businesses by Selected Neighborhood Industry (NAICS Sectors),"Number of Businesses that are Arts-Related per 1,000 Residents",Number of Businesses with Under 50 Employees,Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels,Number of Homes Sold,Number of Students Ever Attended 1st - 5th Grade,Number of Students Ever Attended 6th - 8th Grade,Number of Students Ever Attended 9th - 12th Grade,Number of Total Jobs Filled by Employees ,"Part 1 Crime Rate per 1,000 Residents",Percent of 1st-5th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 6th-8th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of 9th-12th Grade Students that are Chronically Absent (Missing at least 20 days),Percent of Babies Born with a Satisfactory Birth Weight,Percent of Births Delivered at Term (37-42 Weeks),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester),Percent of Businesses that are 1 Year old or less,Percent of Businesses that are 2 Years old or less,Percent of Businesses that are 4 Years old or less,Percent of Children (aged 0-6) with Elevated Blood Lead Levels,"Percent of Commercial Properties with Rehab Permits Above $5,000",Percent of Employed Population with Travel Time to Work of 0-14 Minutes,Percent of Employed Population with Travel Time to Work of 15-29 Minutes,Percent of Employed Population with Travel Time to Work of 30-44 Minutes,Percent of Employed Population with Travel Time to Work of 45 Minutes and Over,Percent of Employed Residents who Work Outside the City,Percent of Homes Weatherized,"Percent of Households Earning $25,000 to $40,000","Percent of Households Earning $40,000 to $60,000","Percent of Households Earning $60,000 to $75,000","Percent of Households Earning Less than $25,000","Percent of Households Earning More than $75,000",Percent of Students that are African American (non-Hispanic),Percent of Students that are Hispanic,Percent of Students that are White (non-Hispanic),Percent Population 16-64 Employed,Percent Population 16-64 Not in Labor Force,Percent Population 16-64 Unemployed and Looking for Work,Percent Residential Properties that do Not Receive Mail,Percentage of 3rd Grade Students Passing MSA Math,Percentage of 3rd Grade Students Passing MSA Reading,Percentage of 5th Grade Students Passing MSA Math,Percentage of 5th Grade Students Passing MSA Reading,Percentage of 8th Grade Students Passing MSA Math,Percentage of 8th Grade Students Passing MSA Reading,Percentage of Housing Units that are Owner-Occupied,Percentage of Population aged 16-19 in School and/or Employed,Percentage of Properties Under Mortgage Foreclosure,"Percentage of Properties with Rehabilitation Permits Exceeding $5,000",Percentage of Residential Properties that are Vacant and Abandoned,Percentage of Residential Properties with Housing Violations (Excluding Vacants),Percentage of Students Passing H.S.A. Algebra,"Rate of Clogged Storm Drain Reports per 1,000 Residents","Rate of Dirty Streets and Alleys Reports per 1,000 Residents","Teen Pregnancy Rate per 1,000 Females (aged 15-19)",Total Employment in Arts-Related Businesses,Total Number of Businesses,Total Number of Commercial Properties,Total number of Employees by Selected Neighborhood Industry (NAICS Sectors),Total Number of Residential Properties,Unemployment Rate,"Violent Crime Rate per 1,000 Residents"
1,Allendale/Irvington/S. Hilton,47.37299175,49.36186186,77.64705882,3.537414966,36701.90674,56,"35,500.00",8.694579762,141,0,216,215,116,940,554,735,2253,59.32046618,21.38297872,17.68953069,40.1,85.84474886,86.75799087,50.68493151,5.217391304,13.47826087,30,0,6.761565836,14.75381712,36.33556356,25.47606794,23.43455138,58.79283599,1.664919529,18.8474,$17 ,12.732451,36.069693,15.6,93.27,1.884253028,3.7,57.15257532,28.16326531,14.68415938,9.712967709,10.36585366,12.80487805,4.87804878,6.707317073,4.968944099,6.395348837,58.14993738,96.11553785,2.03972088,1.8,6.01,2.37,2.777777778,3.45316643,54.81901708,33.6,0,230,281,1180,5589,17.87954088,15.04593945
2,Beechfield/Ten Hills/West Hills,36.56236605,45.03367003,86.79245283,2.036199095,51537.58208,39,"126,000.00",7.175472929,88,0.081539465,129,194,102,634,331,442,1018,37.34507502,11.04100946,15.70996979,33.5,86.80555556,80.55555556,43.05555556,4.316546763,8.633093525,28.05755396,0,22.22222222,13.10356594,45.38474663,25.35403515,16.15765228,60.74978204,0.733855186,17.2033,$21 ,12.26900362,20.384835,29.2,93.6,2.416488984,2.842928216,64.68979101,25.40759383,9.902615166,2.423621778,15.38461538,27.35042735,9.259259259,15.74074074,3.333333333,20.72072072,78.65448505,66.54411765,2.131782946,2.3,0.89,1.83,7.594936709,2.364644488,16.22635356,37.4,4,139,45,760,3612,11.76241227,7.909328115
3,Belair-Edison,41.73441734,69.87632509,80,3.315508021,38173.96825,33.5,"42,000.00",10.50757924,183,0.172255397,228,NA,161,1148,665,935,2738,52.53789619,19.94773519,14.88721805,39.9,86.80851064,85.95744681,49.36170213,6.25,12.08333333,23.33333333,NA,7.36196319,11.13651208,38.01436969,28.26583932,22.5832789,49.52999724,1.665135508,16.9936,$18 ,7.59215421,34.950964,22.6,96.29,1.637554585,1.4,55.44856958,33.70058328,10.85084714,8.443555829,16.01941748,16.42512077,5.607476636,7.981220657,6.132075472,8.968609865,61.56289708,87.16861082,3.208386277,1.7,3.05,1.3,5.405405405,1.607717042,103.6403307,28.4,12,240,163,1096,6296,13.95072015,11.77078548
4,Brooklyn/Curtis Bay/Hawkins Point,32.85593934,56.59743433,69.41176471,8.226691042,36679.05344,35.5,"37,500.00",16.78017272,239,0.210629783,423,299,95,1122,498,547,8344,61.64431651,23.08377897,25.90361446,43.1,79.22535211,81.33802817,43.66197183,5.90809628,12.03501094,31.29102845,0,6.340819022,17.6959191,34.03755869,29.54135067,18.72517154,71.92137986,0.631889349,19.3935,$22 ,9.517158819,34.078212,15.2,54.59,15.68989386,27.5,54.87914056,31.01561723,14.10524222,10.34897714,11.26760563,7.582938389,9.677419355,11.61290323,5.303030303,8.695652174,43.49258649,74.26108374,2.094610497,0.8,6.17,3.55,7.766990291,3.01902689,91.06227621,54.4,27,457,757,1862,4249,17.74718398,18.74605069
5,Canton,25,30.25974026,75,10.34482759,95362.40031,33,"302,900.00",29.75308642,241,0.740740741,316,153,271,107,33,29,3365,51.2345679,3.738317757,0,31,93.85964912,92.10526316,81.57894737,8.554572271,12.97935103,32.44837758,0,16.91542289,18.972615,37.6588509,27.59978522,15.76874888,50.56703119,0.12345679,8.7165,$12 ,7.377463365,8.84285,63.3,18.93,25.44378698,51.5,85.91484816,11.15519609,2.929955745,4.30504305,56.25,56.25,28.57142857,14.28571429,77.77777778,66.66666667,66.62534094,100,0.42152244,4.4,0.4,0.74,0,4.197530864,49.50617284,0,45,339,201,2766,4033,3.153745072,4.567901235
6,Cedonia/Frankford,42.20347648,57.62279396,85.77075099,2.046511628,39300.35503,43,"69,950.00",10.82480791,255,0.127350681,348,270,224,1339,744,1075,1932,53.57218661,13.06945482,10.08064516,34.5,86.93333333,84.8,47.73333333,6.504065041,15.17615176,29.53929539,0,8.225108225,11.50909091,37.10909091,30.40909091,20.97272727,52.64746228,0.806554315,21.194,$18 ,8.309726157,29.650614,23.2,89.55,2.026599113,3.4,66.5087551,25.2578556,8.233389302,4.987678659,15.13944223,16.26984127,12.55411255,11.68831169,2.551020408,10.69767442,73.07875895,76.52631579,3.166268894,2.8,1.91,1.65,6.134969325,1.782909539,23.98437832,35.3,6,369,231,1855,6285,9.871306348,11.67381245
7,Cherry Hill,36.32075472,48.32904884,66.99029126,5.411255411,22403.36538,48,"19,109.00",11.58254084,95,0.48768593,136,111,7,856,394,462,2379,57.30309681,26.98598131,21.31979695,48.9,80.27210884,76.19047619,42.17687075,9.271523179,18.54304636,34.43708609,0,10.75268817,17.99591002,34.19222904,18.73210634,29.0797546,60.62107697,0.243842965,20.4415,$13 ,3.90275112,54.318618,8.5,95.79,2.511682243,1.2,49.59250204,40.66829666,9.739201304,3.663985702,10.6918239,13.20754717,0.617283951,0.617283951,2.459016393,7.03125,49.49186992,70.80745342,0.914634146,1.1,5.18,2.64,7.462686567,0.731528895,9.387954158,54.8,21,151,93,757,984,14.19239905,19.38551573
8,Chinquapin Park/Belvedere,36.04240283,60,87.03703704,1.923076923,45454.45455,38,"109,500.00",22.94997421,178,0.902527076,239,188,70,417,213,260,837,52.47550284,13.9088729,15.96244131,30.8,90.81632653,89.79591837,57.14285714,6.976744186,13.56589147,31.39534884,0,17.85714286,17.81076067,35.35648025,28.27988338,18.5528757,53.37736415,0.644662197,17.4473,$15 ,9.982435597,28.337237,29.3,87.53,4.831460674,6.2,71.14639099,18.25733801,10.596271,7.748776509,16.17647059,26.47058824,11.42857143,18.57142857,1.960784314,20,68.87318706,76.12732095,1.933804388,2.6,1.71,1.56,5.128205128,2.965446106,28.49406911,29.5,27,258,56,1439,2689,12.08675511,7.607013925
9,Claremont/Armistead,36.24382208,49.81834696,77.52808989,2.791878173,33179.51103,34,"104,900.00",12.02770016,99,0.364475762,214,67,25,740,361,394,2505,48.11080063,12.97297297,14.95844875,38.8,90.3030303,86.66666667,46.66666667,4.347826087,9.130434783,24.34782609,0,9.090909091,12.14926237,34.30720278,28.23257159,25.31096326,56.75675676,0,22.1831,$22 ,4.166666667,36.913146,15.2,56.12,25.55183946,16.2,61.34739099,23.64188706,15.01072194,2.383531961,18.86792453,19.49685535,9.836065574,11.47540984,4.761904762,14.67889908,85.09042788,59.95623632,0.749889722,0.9,0.35,0.43,4.6875,3.03729802,16.27991739,48.9,65,230,187,1105,2267,18.2887002,11.54173247
10,Clifton-Berea,56.78073511,52.06710605,63.80952381,4.838709677,29364.20635,51.5,"19,000.00",16.00162042,158,0.405104314,194,73,73,748,379,496,1815,66.53838363,17.64705882,24.53825858,47,82.67716535,82.67716535,45.66929134,4.975124378,16.91542289,30.34825871,0,4.72972973,11.7705902,39.17972658,24.87495832,24.17472491,50.09768351,1.620417257,19.0296,$16 ,7.372400756,44.801512,12.5,97.41,1.23228589,1.2,52.89712961,35.72829381,11.37457657,10.54120309,6.41025641,10.32258065,0.735294118,4.411764706,0,3.125,32.98395722,75.36231884,1.090909091,1.2,26.74,3.28,4.109589041,3.342110593,168.1182905,36,26,201,148,804,4675,14.5,23.69860239
